2025-04-03 00:53:33.635 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for Panoptic the perpetual oracle-free options proto.epub
2025-04-03 00:53:33.636 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_Panoptic the perpetual oracle-free options proto_l_v8bc63/temp_full.md -o /home/pimania/ebooks/epubArticles/Panoptic the perpetual oracle-free options proto.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_Panoptic the perpetual oracle-free options proto_l_v8bc63/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:53:34.209 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_abernethy2013_nnj0p79z/extracted
2025-04-03 00:53:34.217 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for abernethy2013.epub
2025-04-03 00:53:34.217 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_abernethy2013_nnj0p79z/temp_full.md -o /home/pimania/ebooks/epubArticles/abernethy2013.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_abernethy2013_nnj0p79z/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:53:44.036 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 410b6afb-576a-454b-a86c-956ed458e665 (attempt 5/25): state=running
2025-04-03 00:53:56.976 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 410b6afb-576a-454b-a86c-956ed458e665 (attempt 6/25): state=done
2025-04-03 00:53:56.977 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch 410b6afb-576a-454b-a86c-956ed458e665
2025-04-03 00:53:56.977 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/55d7268e-ef06-4357-809f-f2476a720e10.zip
2025-04-03 00:54:02.292 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_vega-protocol-whitepaper_ca7kk2jp/extracted
2025-04-03 00:54:02.303 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for vega-protocol-whitepaper.epub
2025-04-03 00:54:02.304 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_vega-protocol-whitepaper_ca7kk2jp/temp_full.md -o /home/pimania/ebooks/epubArticles/vega-protocol-whitepaper.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_vega-protocol-whitepaper_ca7kk2jp/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:54:34.230 | WARNING  | __main__:_run_pandoc_conversion:230 - Pandoc stderr (warnings) for Panoptic the perpetual oracle-free options proto.epub: [WARNING] Deprecated: markdown_github. Use gfm instead.
[WARNING] This document format requires a nonempty <title> element.
  Defaulting to 'temp_full' as the title.
  To specify a title, use 'title' in metadata or --metadata title="...".
2025-04-03 00:54:34.231 | DEBUG    | __main__:_run_pandoc_conversion:233 - Pandoc conversion successful for Panoptic the perpetual oracle-free options proto.epub
2025-04-03 00:54:34.233 | INFO     | __main__:_run_pdf_to_epub_conversion:273 - Successfully converted Panoptic the perpetual oracle-free options proto.pdf -> Panoptic the perpetual oracle-free options proto.epub
2025-04-03 00:54:45.737 | WARNING  | __main__:_run_pandoc_conversion:230 - Pandoc stderr (warnings) for vega-protocol-whitepaper.epub: [WARNING] Deprecated: markdown_github. Use gfm instead.
[WARNING] This document format requires a nonempty <title> element.
  Defaulting to 'temp_full' as the title.
  To specify a title, use 'title' in metadata or --metadata title="...".
2025-04-03 00:54:45.737 | DEBUG    | __main__:_run_pandoc_conversion:233 - Pandoc conversion successful for vega-protocol-whitepaper.epub
2025-04-03 00:54:45.739 | INFO     | __main__:_run_pdf_to_epub_conversion:273 - Successfully converted vega-protocol-whitepaper.pdf -> vega-protocol-whitepaper.epub
